wavelength_nm	intensity_arb
300.006	17.8243
300.021	37.6341
300.036	15.1977
300.052	10.7023
300.067	17.5162
300.083	14.7739
300.098	10.704
300.114	17.6164
300.129	33.6152
300.145	14.9896
300.16	17.5142
300.176	8.68693
300.191	24.5584
300.206	14.9098
300.222	25.9332
300.237	11.6417
300.253	24.5586
300.268	16.5461
300.283	3.92899
300.299	5.93221
300.314	7.7015
300.33	4.77403
300.345	7.87583
300.36	9.23735
300.376	16.2636
300.391	20.6621
300.406	16.7046
300.422	17.9069
300.437	13.3012
300.452	4.72459
300.468	11.3135
300.483	21.2465
300.498	10.3476
300.514	9.91858
300.529	14.9328
300.544	19.9223
300.559	10.6547
300.575	13.9826
300.59	7.88249
300.605	8.06496
300.621	16.941
300.636	8.33491
300.651	4.88362
300.666	16.8661
300.682	7.86846
300.697	21.8026
300.712	8.96223
300.727	9.05275
300.743	7.9955
300.758	13.4806
300.773	5.6451
300.788	32.3739
300.803	21.9024
300.819	4.78749
300.834	4.36346
300.849	10.1361
300.864	5.83576
300.879	7.37408
300.895	8.76319
300.91	12.3653
300.925	23.6444
300.94	14.0422
300.955	9.54901
300.97	7.65421
300.985	7.31253
301.001	1.94883
301.016	7.76839
301.031	6.1654
301.046	5.5516
301.061	3.45288
301.076	2.82032
301.091	3.88744
301.106	17.073
301.121	8.16413
301.137	17.2417
301.152	7.8805
301.167	7.19457
301.182	6.79017
301.197	15.0044
301.212	16.4523
301.227	17.4938
301.242	11.7209
301.257	14.431
301.272	12.6922
301.287	29.0257
301.302	35.3095
301.317	17.3912
301.332	21.9862
301.347	18.603
301.362	18.6919
301.377	10.9235
301.392	7.13356
301.407	14.6627
301.422	7.2319
301.437	12.2824
301.452	2.64241
301.467	3.65989
301.482	1.75959
301.497	17.4751
301.512	3.09375
301.527	5.96138
301.542	3.45391
301.557	9.19996
301.572	9.14496
301.586	10.4316
301.601	4.91025
301.616	1.18465
301.631	7.8486
301.646	6.23052
301.661	2.17655
301.676	14.7796
301.691	0.594709
301.706	6.68025
301.72	9.64165
301.735	11.994
301.75	5.65855
301.765	0.564087
301.78	12.656
301.795	1.6547
301.81	-0.905305
301.824	-0.463593
301.839	1.98815
301.854	13.3449
301.869	1.60086
301.884	3.6362
301.898	5.73859
301.913	-0.923234
301.928	6.57054
301.943	0.677035
301.958	-2.32706
301.972	7.0036
301.987	5.93607
302.002	27.8001
302.017	7.96708
302.031	1.89644
302.046	15.8882
302.061	-1.10462
302.076	-1.35412
302.09	15.1727
302.105	23.31
302.12	-0.962278
302.134	1.34183
302.149	23.0206
302.164	-1.90614
302.179	-0.558326
302.193	18.6103
302.208	-1.81563
302.223	11.1612
302.237	0.244794
302.252	15.5237
302.267	10.2984
302.281	6.72157
302.296	5.35927
302.311	7.7278
302.325	1.4749
302.34	1.44738
302.354	1.3655
302.369	16.9782
302.384	4.35951
302.398	5.2481
302.413	16.9655
302.427	12.3662
302.44	10.5595
302.457	14.0796
302.473	19.168
302.489	17.9416
302.505	17.3609
302.521	14.1802
302.537	8.26359
302.553	6.18858
302.569	6.64905
302.585	10.7688
302.602	30.8105
302.618	8.1139
302.634	21.3885
302.65	13.8731
302.666	12.4247
302.682	12.0468
302.698	15.2981
302.714	23.2413
302.73	11.2029
302.746	29.207
302.762	14.1437
302.778	13.1782
302.794	11.3739
302.81	24.38
302.826	15.8226
302.842	24.9715
302.858	24.0118
302.874	21.3479
302.89	15.1502
302.906	24.6873
302.922	26.6238
302.938	16.9541
302.954	8.24688
302.97	18.3087
302.986	36.9725
303.002	17.6936
303.018	9.21424
303.034	11.4154
303.05	16.8675
303.066	8.3006
303.082	13.8987
303.098	14.4063
303.114	25.8058
303.13	9.69238
303.146	17.6995
303.161	15.1186
303.177	25.0024
303.193	21.459
303.209	10.7757
303.225	16.3661
303.241	21.3889
303.257	19.2767
303.273	18.1283
303.289	24.8586
303.304	11.0439
303.32	12.4937
303.336	13.1299
303.352	10.2006
303.368	14.9146
303.384	15.0303
303.399	17.2145
303.415	10.6393
303.431	19.3837
303.447	22.8686
303.463	10.8791
303.478	32.8971
303.494	27.5607
303.51	13.3001
303.526	27.6847
303.542	26.1433
303.557	37.5367
303.573	26.1807
303.589	26.6733
303.605	36.2721
303.62	31.8378
303.636	19.0685
303.652	27.0239
303.668	13.0019
303.683	13.1139
303.699	26.6008
303.715	20.8113
303.73	16.4759
303.746	22.8461
303.762	30.627
303.778	25.4989
303.793	16.2694
303.809	16.0618
303.825	14.8815
303.84	31.6152
303.856	18.317
303.872	14.8486
303.887	21.7161
303.903	14.2694
303.919	26.5639
303.934	37.2768
303.95	22.5888
303.965	17.4272
303.981	12.9926
303.997	11.1154
304.012	10.5988
304.028	9.46305
304.043	9.02552
304.059	31.2609
