system_id	region_id	source_line_id	air_wavelength_nm	einstein_a_s-1	upper_e_v_cm-1	upper_e_j_cm-1	upper_j	upper_v	lower_v	branch
n2-second-positive	n2-sps-315	141689	313.500935648	6136.11388958	31630.588	6944.335	63	1	4	OP12
n2-second-positive	n2-sps-315	78403	313.501220646	18123.4046636	33572.1225	920.7275	23	2	6	PQ12
n2-second-positive	n2-sps-315	117983	313.501259956	434.470182163	35447.3395	12666.122	85	3	10	RQ32
n2-second-positive	n2-sps-315	134336	313.502267281	10855147.6188	33572.1225	697.536	20	2	6	P1
n2-second-positive	n2-sps-315	20537	313.50307806	63860.4829079	31630.588	941.521	22	1	3	SR21
n2-second-positive	n2-sps-315	8260	313.503240217	4349409.05204	37230.366	15839.6735	100	4	2	R1
n2-second-positive	n2-sps-315	41418	313.503333579	258.603674406	33572.1225	16604.554	98	2	7	QR23
n2-second-positive	n2-sps-315	113936	313.504090311	73.1621789157	31630.588	15883.7825	94	1	4	RQ32
n2-second-positive	n2-sps-315	6207	313.505014119	3419778.14662	35447.3395	12663.092	87	3	10	R1
n2-second-positive	n2-sps-315	120024	313.507230297	422.454996627	37230.366	15841.65	98	4	2	RQ32
n2-second-positive	n2-sps-315	169616	313.507937908	6068.18962316	31630.588	6947.321	62	1	4	OP23
n2-second-positive	n2-sps-315	143708	313.508571812	9594.60171894	33572.1225	3058.183	42	2	6	OP12
n2-second-positive	n2-sps-315	124999	313.508817512	6753066.34676	33572.1225	91.6225	3	2	6	Q3
n2-second-positive	n2-sps-315	13246	313.50950056	99470.1919687	33572.1225	179.1535	10	2	6	QR12
n2-second-positive	n2-sps-315	106428	313.51126962	20819.776075	33572.1225	928.4205	22	2	6	PQ23
n2-second-positive	n2-sps-315	34164	313.513191037	3415307.46348	35447.3395	12664.908	86	3	10	R2
n2-second-positive	n2-sps-315	36205	313.513879018	4344355.06433	37230.366	15840.9735	99	4	2	R2
n2-second-positive	n2-sps-315	85718	313.514734085	12352.8549137	31630.588	1487.7115	28	1	3	RQ21
n2-second-positive	n2-sps-315	41161	313.515422073	107917.362039	33572.1225	195.1585	9	2	6	QR23
n2-second-positive	n2-sps-315	2136	313.515485958	695374.417133	31630.588	15880.2785	96	1	4	R1
n2-second-positive	n2-sps-315	66985	313.516940572	9076.89186263	31630.588	2540.0355	38	1	3	Q1
n2-second-positive	n2-sps-315	54723	313.517898855	1663.45515029	37230.366	11380.7555	82	4	2	SR32
n2-second-positive	n2-sps-315	171623	313.518046284	9491.42369553	33572.1225	3062.43	41	2	6	OP23
n2-second-positive	n2-sps-315	30117	313.518675315	694583.361647	31630.588	15882.2985	95	1	4	R2
n2-second-positive	n2-sps-315	134318	313.520513279	12732059.5363	33572.1225	9.625	2	2	6	P1
n2-second-positive	n2-sps-315	124998	313.52109809	13881699.6048	33572.1225	79.8535	2	2	6	Q3
n2-second-positive	n2-sps-315	18739	313.521732047	4940.12604398	29635.5885	15771.689	94	0	1	SR21
n2-second-positive	n2-sps-315	190112	313.523191634	10809035.16	33572.1225	783.5525	19	2	6	P3
n2-second-positive	n2-sps-315	162306	313.52823886	10808513.1426	33572.1225	706.333	19	2	6	P2
n2-second-positive	n2-sps-315	134335	313.529216871	10862999.9335	33572.1225	630.0965	19	2	6	P1
n2-second-positive	n2-sps-315	46622	313.530420963	4903.71116161	29635.5885	15773.2165	93	0	1	SR32
n2-second-positive	n2-sps-315	95077	313.530499598	18877.037493	31630.588	2544.899	37	1	3	Q2
n2-second-positive	n2-sps-315	57933	313.530622466	695197.06767	31630.588	15883.7825	94	1	4	R3
n2-second-positive	n2-sps-315	61956	313.530750247	3414454.70082	35447.3395	12666.122	85	3	10	R3
n2-second-positive	n2-sps-315	63985	313.533561476	4347705.84532	37230.366	15841.65	98	4	2	R3
n2-second-positive	n2-sps-315	132325	313.541671073	13044477.9556	31630.588	4215.9695	49	1	3	P1
n2-second-positive	n2-sps-315	78402	313.54186276	19489.1751831	33572.1225	842.8515	22	2	6	PQ12
n2-second-positive	n2-sps-315	134319	313.543140675	12133282.3066	33572.1225	19.273	3	2	6	P1
n2-second-positive	n2-sps-315	113700	313.548129561	12233.3435711	31630.588	1492.861	27	1	3	RQ32
n2-second-positive	n2-sps-315	123004	313.549294477	31691.6121692	31630.588	2548.86	36	1	3	Q3
n2-second-positive	n2-sps-315	162288	313.550036685	10500627.485	33572.1225	41.134	1	2	6	P2
n2-second-positive	n2-sps-315	13245	313.550105499	100487.802123	33572.1225	146.249	9	2	6	QR12
