element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Cr	2	"200.01079"	"0.00010"	"200.010735"	"0.000013"	"5"	""		"6.80524292"	"13.0021123"	"3d4.(a 3F).4s"	"d 4F"	"7/2"	"3d3.(4F).4s.4p.(1P*)"	"p 4D*"	"5/2"	8	6		""	"L18847"	
Fe	2	"200.037731"	"0.000011"	"200.037732"	"0.000010"	"80000"	"9.5e+07"	C+	"2.52186911"	"8.7179023"	"3d7"	"a 2H"	"11/2"	"3d6.(3G).4p"	"x 2G*"	"9/2"	12	10		"T6892c83"	"L18349c139"	
Cr	2	"200.04227"	"0.00008"	"200.042230"	"0.000009"	"7*"	""		"8.35269998"	"14.54859386"	"3d4.(3H).4p"	"y 4G*"	"11/2"	"3d4.(5D).6d"	"4G"	"11/2"	12	12		""	"L18847"	
Cr	2	"200.04227"	"0.00008"	"200.042545"	"0.000009"	"7*"	""		"8.30843845"	"14.50432257"	"3d4.(a 3F).4p"	"y 4F*"	"5/2"	"3d4.(5D).6d"	"4G"	"7/2"	6	8		""	"L18847c153"	
Ti	2	"200.049"	""	"200.051141"	"0.000013"	"0:"	""		"4.00165030"	"10.1972682"	"3d3"	"d 2D1"	"3/2"	"3d2.(3F).4f"	"4P*"	"5/2"	4	6		""	"L5432"	
S	2	"200.0514"	"0.0007"	"200.0519"	"0.0003"	"5800"	""		"13.677118"	"19.872714"	"3s2.3p2.(3P).3d"	"4F"	"5/2"	"3s2.3p2.(3P<1>).4f"	"2[3]*"	"7/2"	6	8		""	"L5883"	
Mn	2	"200.0520"	"0.0006"	"200.05202"	"0.00020"	"80"	""		"3.937888"	"10.133479"	"3d6"	"a 3F"	"2"	"3d5.(2D).4p"	"x 3D*"	"1"	5	3		""	"L562"	
Fe	1	"200.0578"	"0.00024"	"200.057726"	"0.000010"	"2"	""		"0.91460217"	"7.11001619"	"3d7.(4F).4s"	"a 5F"	"4"	"3d6.(3D).4s.4p.(1P*)"	"3D*"	"3"	9	7		""	"L11631c80"	
Cr	1	"200.060"	"0.005"	"200.06050"	"0.00003"	"20"	""		"1.00367492"	"7.1990031"	"3d4.4s2"	"a 5D"	"3"	"3d4.4s.5p"	"r 5D*"	"2"	7	5		""	"L808"	
Fe	1	"200.0671"	"0.00024"	"200.067016"	"0.000010"	"2"	""		"0.91460217"	"7.10972855"	"3d7.(4F).4s"	"a 5F"	"4"	"3d6.4s.(6D).6p"	"5F*"	"3"	9	7		""	"L11631c80"	
Cr	2	"200.08405"	"0.00010"	"200.084035"	"0.000009"	"6"	""		"4.41511558"	"10.60971510"	"3d5"	"b 2H"	"9/2"	"3d4.(1F).4p"	"v 2G*"	"7/2"	10	8		""	"L18847"	
Fe	2	"200.09046"	"0.00004"	"200.090426"	"0.000010"	"1400"	"6.e+06"	D	"7.12826481"	"13.3226665"	"3d5.4s2"	"d 4P"	"3/2"	"3d5.(2D3).4s.4p.(3P*)"	"4D*"	"1/2"	4	2		"T6892c83"	"L18349c139"	
Fe	2	"200.09291"	"0.00003"	"200.092909"	"0.000010"	"1600"	""		"7.11806748"	"13.3123923"	"3d5.4s2"	"d 4P"	"5/2"	"3d5.(2D1).4s.4p.(3P*)"	"4D*"	"5/2"	6	6		""	"L18349c139"	
Cr	2	"200.11020"	"0.00003"	"200.110188"	"0.000009"	"18"	""		"8.18422748"	"14.37801752"	"3d3.4s2"	"d 4P"	"3/2"	"3d3.(4P).4s.4p.(1P*)"	"4P*"	"3/2"	4	4		""	"L18847"	
S	2	"200.1570"	"0.0007"	"200.15688"	"0.00020"	"2600"	""		"13.677118"	"19.869464"	"3s2.3p2.(3P).3d"	"4F"	"5/2"	"3s2.3p2.(3P<1>).4f"	"2[3]*"	"5/2"	6	6		""	"L5883"	
Cu	1	"200.1672"	"0.0002"	"200.16723"	"0.00008"	"12a"	""		"0.0000000"	"6.1920252"	"3d10.4s"	"2S"	"1/2"	"3d10.4d"	"2D"	"5/2"	2	6	E2	""	"L4958"	
Cr	2	"200.16768"	"0.00011"	"200.167690"	"0.000009"	"4"	""		"3.10490646"	"9.29691748"	"3d5"	"b 4D"	"3/2"	"3d4.(3D).4p"	"y 2P*"	"3/2"	4	4		""	"L18847"	
Fe	2	"200.1833"	"0.0005"	"200.182944"	"0.000011"	"250bl(Fe III)"	""		"7.3973238"	"13.5888631"	"3d6.(3P2).4p"	"z 4S*"	"3/2"	"3d6.(3D).5s"	"2D"	"3/2"	4	4		""	"L18349c142"	
Cr	2	"200.1834"	"0.0002"	"200.183545"	"0.000009"	"4"	""		"3.10539681"	"9.29691748"	"3d5"	"b 4D"	"5/2"	"3d4.(3D).4p"	"y 2P*"	"3/2"	6	4		""	"L18847"	
Ne	2	"200.18752"	"0.00010"	"200.187414"	"0.000009"	"140"	""		"31.36223939"	"37.5536404"	"2s2.2p4.(3P).3p"	"4S*"	"3/2"	"2s2.2p4.(3P).4d"	"2F"	"5/2"	4	6		""	"L9088"	
Hg	1	"200.191"	"0.002"	"200.1871"	"0.0008"	"2d"	""		"5.4606248"	"11.65203"	"5d10.6s.6p"	"3P*"	"2"	"5d10.6p2"	"3P"	"1"	5	3		""	"L15189c86"	
Mn	2	"200.191"	"0.002"	"200.1896"	"0.0004"	"60H"	"1.8e+08"	D	"7.3817036"	"13.573036"	"3d6"	"c 1G"	"4"	"3d5.(b 2G).4p"	"v 1G*"	"4"	9	9		"c88"	"L562"	
Cu	1	"200.1947"	"0.0002"	"200.19472"	"0.00008"	"6a"	""		"0.0000000"	"6.1911751"	"3d10.4s"	"2S"	"1/2"	"3d10.4d"	"2D"	"3/2"	2	4	E2	""	"L4958"	
S	2	"200.1985"	"0.0007"	"200.1996"	"0.0004"	"12000"	""		"13.701330"	"19.892356"	"3s2.3p2.(3P).3d"	"4F"	"7/2"	"3s2.3p2.(3P<1>).4f"	"2[4]*"	"9/2"	8	10		""	"L5883"	
Cr	2	"200.202162"	"0.000010"	"200.202159"	"0.000009"	"78"	""		"8.18422748"	"14.37517257"	"3d3.4s2"	"d 4P"	"3/2"	"3d3.(4P).4s.4p.(1P*)"	"4P*"	"1/2"	4	2		""	"L18847"	
S	2	"200.2278"	"0.0007"	"200.22738"	"0.00020"	"8500"	""		"13.660211"	"19.850376"	"3s2.3p2.(3P).3d"	"4F"	"3/2"	"3s2.3p2.(3P<0>).4f"	"2[3]*"	"5/2"	4	6		""	"L5883"	
Fe	1	"200.23799"	"0.00006"	"200.238154"	"0.000007"	"13"	""		"0.08728574"	"6.27711812"	"3d6.4s2"	"a 5D"	"2"	"3d6.(5D).4s (6D).5p"	"n 7P*"	"3"	5	7		""	"L11631"	
Fe	2	"200.2483"	"0.0005"	"200.248420"	"0.000010"	"210d?"	""		"7.8803734"	"14.0698885"	"3d6.(3F2).4p"	"x 4D*"	"1/2"	"3d6.(5D).7s"	"4D"	"3/2"	2	4		""	"L18349c142"	
